NTACode,NTAName,baseline_stress,event_stress,delta
QN8491,Jamaica Bay (East),-0.7538689029521111,-0.5251826616337316,0.22868624131837945
QN1491,Rockaway Community Park,-0.7528244397658412,-0.5251826610662427,0.22764177869959856
QN8081,LaGuardia Airport,-0.7522742822765963,-0.5251826616411441,0.22709162063545218
QN1091,Spring Creek Park,-0.7522169646557364,-0.5251826616437709,0.22703430301196548
QN1371,Montefiore Cemetery,-0.7520127685959523,-0.5251826605931591,0.22683010800279324
BK5691,Barren Island-Floyd Bennett Field,-0.751870710818521,-0.5251826614799526,0.22668804933856834
BK1391,Calvert Vaux Park,-0.7514894549649274,-0.52518265952473,0.22630679544019738
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,-0.7513809689442312,-0.5251826616437709,0.2261983073004603
QN0791,Kissena Park,-0.7511100647681501,-0.5251826612716487,0.22592740349650142
SI0391,Freshkills Park (South),-0.7508874600900097,-0.5251826615327239,0.22570479855728587
SI9561,Fort Wadsworth,-0.7507709530114731,-0.5251826615411956,0.22558829147027748
QN1306,Springfield Gardens (South)-Brookville,-0.574979984277083,-0.35054459827492934,0.22443538600215363
BX2891,Pelham Bay Park,-0.7490678706541267,-0.5251826616203099,0.2238852090338168
BK1891,Marine Park-Plumb Island,-0.7488611410314117,-0.5251826616288714,0.22367847940254026
BX1103,Pelham Gardens,-0.5050393208159315,-0.2815109266913811,0.2235283941245504
BK1103,Gravesend (West),-0.3283337426997769,-0.10505254349812228,0.22328119920165462
SI0191,Snug Harbor,-0.7483470652317641,-0.5251826590593338,0.22316440617243027
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,-0.7477811839186141,-0.5251826610127538,0.22259852290586035
BK1061,Fort Hamilton,-0.7477060414820056,-0.5251826603953285,0.22252338108667713
BX1091,Ferry Point Park-St. Raymond Cemetery,-0.7471381305193641,-0.5251826614329658,0.2219554690863983
SI9592,Miller Field,-0.7471341965190672,-0.5251826616437709,0.22195153487529629
QN0571,Mount Olivet & All Faiths Cemeteries,-0.7470305520489646,-0.5251826607153613,0.22184789133360328
QN0891,Cunningham Park,-0.7469957302015982,-0.5251826613465622,0.22181306885503593
QN0761,Fort Totten,-0.7463376791385014,-0.5251826615653565,0.22115501757314482
QN0572,Middle Village Cemetery,-0.7462619114307392,-0.5251826616437709,0.22107924978696825
SI9593,Great Kills Park,-0.7462467804880321,-0.5251826616437709,0.22106411884426114
BX1271,Woodlawn Cemetery,-0.7456528675874707,-0.5251826607948219,0.22047020679264884
BK1771,Holy Cross Cemetery,-0.7440210693044389,-0.5251826611954984,0.2188384081089405
BK1892,McGuire Fields,-0.743924834408621,-0.5251826616045594,0.2187421728040616
