NTACode,NTAName,area_km2,flood_area_km2,clim_flood_share
BK0701,Windsor Terrace-South Slope,15.312309999887457,0.0,0.0
BK0703,Sunset Park (Central),18.754319667400413,0.0,0.0
BK0771,Green-Wood Cemetery,21.101669478672438,0.0,0.0
BK0801,Prospect Heights,10.30894804222828,0.0,0.0
BK0802,Crown Heights (North),35.41646293190787,0.0,0.0
BK0891,Lincoln Terrace Park,1.214621459104119,0.0,0.0
BK0901,Crown Heights (South),20.053900495216585,0.0,0.0
BK0902,Prospect Lefferts Gardens-Wingate,24.03877319825469,0.0,0.0
BK1002,Dyker Heights,29.119118597081954,0.0,0.0
BK1091,Dyker Beach Park,9.989056030008769,0.0,0.0
BK1101,Bensonhurst,48.63507535126962,0.0,0.0
BK1201,Sunset Park (East)-Borough Park (West),11.749180571438252,0.0,0.0
BK1202,Borough Park,40.48141801059476,0.0,0.0
BK1203,Kensington,17.471287796167744,0.0,0.0
BK1204,Mapleton-Midwood (West),31.356542286235587,0.0,0.0
BK1401,Flatbush,24.024253483789682,0.0,0.0
BK1402,Flatbush (West)-Ditmas Park-Parkville,22.904739383617777,0.0,0.0
BK1403,Midwood,32.21861943538356,0.0,0.0
BK1501,Gravesend (East)-Homecrest,34.880004424545774,0.0,0.0
BK1502,Madison,27.379255489926845,0.0,0.0
BK1601,Ocean Hill,20.089756574035977,0.0,0.0
BK1602,Brownsville,30.786088456587848,0.0,0.0
BK1701,East Flatbush-Erasmus,19.771023420725356,0.0,0.0
BK1702,East Flatbush-Farragut,24.12198202503981,0.0,0.0
BK1703,East Flatbush-Rugby,27.20528787952147,0.0,0.0
BK1704,East Flatbush-Remsen Village,18.390781757480354,0.0,0.0
BK1771,Holy Cross Cemetery,4.276590094540068,0.0,0.0
BK1801,Flatlands,54.33736754899403,0.0,0.0
BK5591,Prospect Park,27.328057217757653,0.0,0.0
BX0102,Melrose,17.271748733082916,0.0,0.0
BX0202,Longwood,15.396642636996589,0.0,0.0
BX0301,Morrisania,13.811271328258215,0.0,0.0
BX0302,Claremont Village-Claremont (East),9.998330012797465,0.0,0.0
BX0391,Crotona Park,6.339733539736841,0.0,0.0
BX0403,Mount Eden-Claremont (West),13.607435239108812,0.0,0.0
BX0491,Yankee Stadium-Macombs Dam Park,2.8110500027524745,0.0,0.0
BX0492,Claremont Park,1.8621157229402274,0.0,0.0
BX0502,Mount Hope,12.68175466394594,0.0,0.0
BX0503,Fordham Heights,7.3790331198126164,0.0,0.0
BX0602,Tremont,15.829265336388016,0.0,0.0
BX0603,Belmont,16.39394273401404,0.0,0.0
BX0702,Bedford Park,24.553668371834252,0.0,0.0
BX0703,Norwood,15.721215483237037,0.0,0.0
BX0801,Kingsbridge Heights-Van Cortlandt Village,10.970020021098774,0.0,0.0
BX0904,Parkchester,9.18433721492949,0.0,0.0
