NTACode,NTAName,area_km2,svc_311_density
BX1203,Wakefield-Woodlawn,3.683360706816896,1711.2090022394132
BX1271,Woodlawn Cemetery,1.661714174484432,8.425034951840427
BX2691,Van Cortlandt Park,4.706403616791873,35.908522464377825
BX2791,Bronx Park,3.108672135757309,21.552610591942663
BX2891,Pelham Bay Park,9.223707315014556,4.987148705935213
MN0101,Financial District-Battery Park City,1.786237216423128,623.0975313730951
MN0102,Tribeca-Civic Center,1.261472287747513,560.4562279068534
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,1.114213710939689,6.282457244307687
MN0201,SoHo-Little Italy-Hudson Square,1.200017568456637,1618.3096406643774
MN0202,Greenwich Village,0.984823955107992,1171.783031895743
MN0203,West Village,1.339383546193608,1483.5182988822373
MN0301,Chinatown-Two Bridges,1.072251113649145,1325.2492647584886
MN0302,Lower East Side,1.530398360984391,1167.6698339186382
MN0303,East Village,1.763744820124721,2829.774433949616
MN0401,Chelsea-Hudson Yards,2.756626606460762,901.8268902191944
MN0402,Hell's Kitchen,1.707793525691597,1921.1924337699484
MN0501,Midtown South-Flatiron-Union Square,1.382321663005523,1136.4938002810732
MN0502,Midtown-Times Square,2.281032282450441,869.343242205115
MN0601,Stuyvesant Town-Peter Cooper Village,0.51799205898063,820.4758984845607
MN0602,Gramercy,0.699195494698654,2284.053618921401
MN0603,Murray Hill-Kips Bay,1.465203523672658,1227.1332759923748
MN0604,East Midtown-Turtle Bay,1.220582990205774,1764.7304749321995
MN0661,United Nations,0.101382243262795,39.45464088451384
MN0701,Upper West Side-Lincoln Square,1.4676438603118,1128.3391323888234
MN0702,Upper West Side (Central),2.360759212873146,2185.7375253955092
MN0703,Upper West Side-Manhattan Valley,1.226378291111761,2699.8194798429167
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,1.997526796919461,1306.1151439988382
MN0802,Upper East Side-Carnegie Hill,1.864156614316107,922.1328223168847
MN0803,Upper East Side-Yorkville,1.267675368339339,2129.8828291796926
MN0901,Morningside Heights,1.479297169659233,983.57519357329
MN0902,Manhattanville-West Harlem,0.997309781448646,3731.037305775792
MN0903,Hamilton Heights-Sugar Hill,1.484944236325918,6705.975723801121
MN1001,Harlem (South),1.340272155091195,6352.441157311583
MN1002,Harlem (North),2.210462602521514,7311.139297975392
