NTACode,NTAName,incident_count,area_km2,mob_mta_delay_density
BX0702,Bedford Park,663.0907335907336,2.279810330528209,290.8534647428772
BX0703,Norwood,436.4285714285714,1.4597135195505038,298.982345222755
BX0801,Kingsbridge Heights-Van Cortlandt Village,0.0,1.0185640103945373,0.0
BX0802,Kingsbridge-Marble Hill,471.1578947368421,1.1432160924865273,412.13371455615214
BX0803,Riverdale-Spuyten Duyvil,0.0,5.847939111111416,0.0
BX0901,Soundview-Bruckner-Bronx River,448.6578947368421,2.990533984764786,150.0260144250226
BX0902,Soundview-Clason Point,0.0,2.8155861096115777,0.0
BX0903,Castle Hill-Unionport,149.55263157894737,3.0547463658562406,48.9574628029807
BX0904,Parkchester,0.0,0.8527769307572642,0.0
BX0991,Soundview Park,0.0,0.7237159195593543,0.0
BX1001,Westchester Square,448.6578947368421,1.42825085827254,314.13101706761154
BX1002,Throgs Neck-Schuylerville,0.0,6.172591814125715,0.0
BX1003,Pelham Bay-Country Club-City Island,448.6578947368421,3.278611911742087,136.84385551397824
BX1004,Co-op City,0.0,2.697874879435452,0.0
BX1071,Hart Island,0.0,0.4554663051127488,0.0
BX1091,Ferry Point Park-St. Raymond Cemetery,0.0,2.0189810862881856,0.0
BX1101,Pelham Parkway-Van Nest,182.97460317460317,1.4473937393284007,126.41660538030548
BX1102,Morris Park,65.6888888888889,2.584358600859227,25.417869202458657
BX1103,Pelham Gardens,131.3777777777778,2.791505387081697,47.06341545524406
BX1104,Allerton,182.97460317460317,1.4627827384245204,125.0866573471291
BX1161,Hutchinson Metro Center,0.0,1.1310643997004861,0.0
BX1201,Williamsbridge-Olinville,731.8984126984127,3.3651357039524403,217.49447186892903
BX1202,Eastchester-Edenwald-Baychester,131.3777777777778,5.236474908747044,25.0889730338101
BX1203,Wakefield-Woodlawn,483.2349206349206,3.681258175831463,131.26895684945416
BX1271,Woodlawn Cemetery,0.0,1.6607525835565953,0.0
BX2691,Van Cortlandt Park,0.0,4.7036613270253556,0.0
BX2791,Bronx Park,0.0,3.106873172779162,0.0
BX2891,Pelham Bay Park,0.0,9.218621309031894,0.0
MN0101,Financial District-Battery Park City,1975.0144358221755,1.7851160182466348,1106.3787538930167
MN0102,Tribeca-Civic Center,1841.380840470159,1.2606815403536147,1460.623306940515
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,0.0,1.1135099316225494,0.0
MN0201,SoHo-Little Italy-Hudson Square,1284.6972746652418,1.1992676951385453,1071.2347875899611
MN0202,Greenwich Village,898.1863442389757,0.9844401173337256,912.3829153485119
MN0203,West Village,1128.05807190931,1.3385450384300805,842.7494327963434
MN0301,Chinatown-Two Bridges,121.80000000000001,1.0715722168851307,113.6647610686015
MN0302,Lower East Side,516.3366366366366,1.5294635736457214,337.5932879564209
MN0303,East Village,219.05,1.7624260253905657,124.28890452378393
MN0401,Chelsea-Hudson Yards,1189.6557150451886,2.7549042140242923,431.8319704144524
MN0402,Hell's Kitchen,222.11818181818182,1.7067314009602594,130.1424358239447
MN0501,Midtown South-Flatiron-Union Square,2689.0867899950154,1.3814631103374184,1946.5498353685416
MN0502,Midtown-Times Square,3789.5459294488915,2.2796225754726667,1662.356729671863
MN0601,Stuyvesant Town-Peter Cooper Village,0.0,0.517672740586473,0.0
MN0602,Gramercy,97.25,0.6987628109895001,139.17455032028218
MN0603,Murray Hill-Kips Bay,120.77272727272728,1.464301356183495,82.47805464546259
MN0604,East Midtown-Turtle Bay,803.3766195792512,1.2198796015734987,658.5704183781673
MN0661,United Nations,0.0,0.10131943191408678,0.0
MN0701,Upper West Side-Lincoln Square,912.0071415531166,1.4667348994083367,621.7941237513401
MN0702,Upper West Side (Central),563.3306059265811,2.359304573616723,238.76976810290205
MN0703,Upper West Side-Manhattan Valley,235.57894736842104,1.2256265275435239,192.21103825207086
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,202.18773946360153,1.9963113437523619,101.2806645097552
MN0802,Upper East Side-Carnegie Hill,1651.3421671996082,1.8630180885759848,886.3801040503192
MN0803,Upper East Side-Yorkville,143.9655172413793,1.2669065081560416,113.63547058489611
MN0901,Morningside Heights,584.2554829949568,1.4783929369219253,395.19634354544513
MN0902,Manhattanville-West Harlem,244.17055476529163,0.9967032265138638,244.97819237459376
MN0903,Hamilton Heights-Sugar Hill,534.7660093107462,1.4840441538511393,360.3437323094547
MN1001,Harlem (South),882.648716784011,1.3394586823549266,658.9592709438489
MN1002,Harlem (North),563.8962071315013,2.2091277751748906,255.25739772424853
MN1101,East Harlem (South),443.07078039927404,1.5462855505914557,286.5387833636543
