NTACode,NTAName,complaint_count,area_km2,util_outage_density
QN0171,St. Michael's Cemetery,0,0.4074865435278453,0.0
QN0191,Astoria Park,0,0.24836551802928553,0.0
QN0201,Long Island City-Hunters Point,5,2.562166569769082,1.9514734361906183
QN0202,Sunnyside,21,4.429036111793344,4.741437972041499
QN0203,Woodside,44,3.059388636065386,14.3819583694955
QN0261,Sunnyside Yards (South),0,0.8155364284913341,0.0
QN0271,Calvary & Mount Zion Cemeteries,0,1.3269771369954348,0.0
QN0301,Jackson Heights,45,3.6505226622497258,12.327001956554797
QN0302,East Elmhurst,26,2.6707492836497533,9.735095749784982
QN0303,North Corona,16,1.2963302438292275,12.342533915383807
QN0401,Elmhurst,52,3.9091917283202795,13.301982510421308
QN0402,Corona,37,2.2308131502471418,16.585880353045678
QN0501,Maspeth,17,5.414461498259507,3.1397397516751564
QN0502,Ridgewood,55,3.950645901389464,13.921774153602628
QN0503,Glendale,17,2.7861032982438947,6.101712025794323
QN0504,Middle Village,13,3.2444896332676714,4.006793508200276
QN0571,Mount Olivet & All Faiths Cemeteries,0,0.7100010786463046,0.0
QN0572,Middle Village Cemetery,0,0.5117410440816549,0.0
QN0573,St. John Cemetery,0,0.8128240538695244,0.0
QN0574,Highland Park-Cypress Hills Cemeteries (North),0,2.8994199817386623,0.0
QN0601,Rego Park,12,1.874966476516454,6.400114428869733
QN0602,Forest Hills,40,5.381154635989351,7.433348919668391
QN0701,College Point,14,6.194080287916908,2.260222559160313
QN0702,Whitestone-Beechhurst,2,4.887559277364945,0.4092021981732916
QN0703,Bay Terrace-Clearview,0,3.6510068078525983,0.0
QN0704,Murray Hill-Broadway Flushing,17,5.24179659482788,3.2431628531282626
QN0705,East Flushing,14,2.9397243228265357,4.762351316853767
QN0706,Queensboro Hill,8,2.4538773302631234,3.260146667210206
QN0707,Flushing-Willets Point,30,3.5779876065907694,8.3846014292333
QN0761,Fort Totten,0,0.646011685986585,0.0
QN0791,Kissena Park,0,1.0228852614623976,0.0
QN0801,Kew Gardens Hills,71,3.185238730963678,22.290322954386312
QN0802,Pomonok-Electchester-Hillcrest,8,3.4331601890579337,2.3302146009665856
QN0803,Fresh Meadows-Utopia,7,3.082376394883505,2.270975086501257
QN0804,Jamaica Estates-Holliswood,9,3.659432505741409,2.4593977306261534
QN0805,Jamaica Hills-Briarwood,21,2.566933287750446,8.18096835637031
QN0871,Mount Hebron & Cedar Grove Cemeteries,0,0.8550648941983765,0.0
QN0891,Cunningham Park,0,1.9782525752061895,0.0
QN0901,Kew Gardens,12,1.883491627513091,6.3711459210702515
QN0902,Richmond Hill,35,2.81059627069793,12.452873564551043
QN0903,South Richmond Hill,17,1.4716224758354548,11.551875755600246
QN0904,Ozone Park (North),9,1.679422240183993,5.358985837304372
QN0905,Woodhaven,18,2.203113617098763,8.170254979270586
QN1001,South Ozone Park,53,7.5986877195460245,6.9748885539365775
QN1002,Ozone Park,4,2.331279095376165,1.7157962802195408
QN1003,Howard Beach-Lindenwood,4,4.884408696004002,0.8189322902631904
QN1091,Spring Creek Park,0,1.1001188725265396,0.0
QN1101,Auburndale,8,5.150046582925254,1.5533840075395895
QN1102,Bayside,15,6.53789568024519,2.2943162041150003
QN1103,Douglaston-Little Neck,2,6.32807518425483,0.3160518707135924
QN1104,Oakland Gardens-Hollis Hills,0,3.680290226769806,0.0
QN1191,Alley Pond Park,0,2.4265311416661266,0.0
QN1201,Jamaica,124,4.3482048793670565,28.51751548975999
QN1202,South Jamaica,83,3.515997104253839,23.606390318007435
QN1203,Baisley Park,58,4.452191004304067,13.02729374007756
QN1204,Springfield Gardens (North)-Rochdale Village,29,3.2001384662890016,9.062107876109957
QN1205,St. Albans,46,6.896927723037346,6.669636372489345
QN1206,Hollis,21,2.2720765614988747,9.242646289237028
QN1301,Glen Oaks-Floral Park-New Hyde Park,4,4.217680645834504,0.9483885423972317
QN1302,Bellerose,6,5.136980620716542,1.168001291615361
QN1303,Queens Village,44,6.467899056910341,6.80282725701944
QN1304,Cambria Heights,7,3.071032081123693,2.2793640102381136
QN1305,Laurelton,25,3.6993972457995623,6.757857655969755
QN1306,Springfield Gardens (South)-Brookville,31,5.333248666436097,5.812592275153658
QN1307,Rosedale,35,4.3860152186948875,7.979908471547593
QN1371,Montefiore Cemetery,0,0.49417710575175106,0.0
QN1401,Far Rockaway-Bayswater,69,5.615311983931932,12.287830168197546
QN1402,Rockaway Beach-Arverne-Edgemere,53,4.6892528752799185,11.302440156170132
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,10,6.42827828105732,1.55562649325057
QN1491,Rockaway Community Park,0,0.8291485583451307,0.0
QN8081,LaGuardia Airport,0,2.840479746185345,0.0
QN8191,Flushing Meadows-Corona Park,1,5.126128890614927,0.195078980911079
QN8291,Forest Park,0,2.229332026948446,0.0
QN8381,John F. Kennedy International Airport,0,18.30965291459967,0.0
QN8491,Jamaica Bay (East),0,6.492212683573909,0.0
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0,4.887008933503771,0.0
SI0101,St. George-New Brighton,34,2.461153119998388,13.814662616368325
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,16,2.2506388951208565,7.109092460228196
